Picture ID,Category,Description,WordNet_1,WordNet_2,WordNet_3,WordNet_4,WordNet_5,WordNet_6,WordNet_7,,,,,,,,,,,,,,
Faces_074_h,Faces,woman and a girl,10626312,09934281,,,,,,,,,,,,,,,,,,,
Faces_075_v,Faces,girl,09934281,00751461,,,,,,,,,,,,,,,,,,,
Faces_076_h,Faces,girl playing,09934281,02756004,02395028,,,,,,,,,,,,,,,,,,
Faces_077_v,Faces,girl drinking,09934281,01158929,,,,,,,,,,,,,,,,,,,
Faces_078_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_079_h,Faces,mother and child,10178093,09771320,09682781,,,,,,,,,,,,,,,,,,
Faces_080_h,Faces,woman and children,10626312,09771320,03352246,,,,,,,,,,,,,,,,,,
Faces_081_v,Faces,children smiling,09771320,00028498,,,,,,,,,,,,,,,,,,,
Faces_082_v,Faces,child playing,09771320,02395028,,,,,,,,,,,,,,,,,,,
Faces_083_h,Faces,child,09771320,01157345,,,,,,,,,,,,,,,,,,,
Faces_084_v,Faces,woman and a child,10626312,09771320,,,,,,,,,,,,,,,,,,,
Faces_085_h,Faces,baby,09682781,,,,,,,,,,,,,,,,,,,,
Faces_086_v,Faces,baby,09682781,,,,,,,,,,,,,,,,,,,,
Faces_087_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_088_v,Faces,children playing,09934281,02395028,00028498,,,,,,,,,,,,,,,,,,
Faces_089_h,Faces,mother and child,10178093,09771320,,,,,,,,,,,,,,,,,,,
Faces_090_v,Faces,children smiling,09771320,00028498,,,,,,,,,,,,,,,,,,,
Faces_091_v,Faces,parents with a child,10244202,09934281,,,,,,,,,,,,,,,,,,,
Faces_092_h,Faces,family on the beach,07968033,09085057,,,,,,,,,,,,,,,,,,,
Faces_093_v,Faces,man and a girl,10133569,09934281,10133569,03748597,,,,,,,,,,,,,,,,,
Faces_094_h,Faces,woman and a girl,10626312,09934281,07524474,,,,,,,,,,,,,,,,,,
Faces_095_h,Faces,girl eating,09934281,01157345,,,,,,,,,,,,,,,,,,,
Faces_096_h,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_097_v,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_098_h,Faces,girl,09934281,07510835,,,,,,,,,,,,,,,,,,,
Faces_099_h,Faces,boy,10131706,02395028,,,,,,,,,,,,,,,,,,,
Faces_100_h,Faces,boys smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_101_h,Faces,children,09771976,00028498,,,,,,,,,,,,,,,,,,,
Faces_102_h,Faces,boy,10131706,10394963,,,,,,,,,,,,,,,,,,,
Faces_103_h,Faces,men smiling,10133569,00028498,,,,,,,,,,,,,,,,,,,
Faces_104_h,Faces,girl smiling,09934281,00028498,,,,,,,,,,,,,,,,,,,
Faces_105_h,Faces,boy playing,10131706,01062243,00028498,,,,,,,,,,,,,,,,,,
Faces_106_h,Faces,man and a girl smiling,10133569,00028498,09934281,,,,,,,,,,,,,,,,,,
Faces_107_h,Faces,man and a boy smiling,10133569,00028498,10131706,,,,,,,,,,,,,,,,,,
Faces_108_h,Faces,children in swimming pool,09771320,04319445,02395028,,,,,,,,,,,,,,,,,,
Faces_109_v,Faces,child smiling,09771320,00028498,15050868,,,,,,,,,,,,,,,,,,
Faces_110_h,Faces,girls smiling,09934281,00028498,,,,,,,,,,,,,,,,,,,
Faces_111_h,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_112_h,Faces,girls,09934281,,,,,,,,,,,,,,,,,,,,
Faces_113_h,Faces,boy playing,10131706,02395028,01912958,,,,,,,,,,,,,,,,,,
Faces_114_h,Faces,baby,09682781,09682781,,,,,,,,,,,,,,,,,,,
Faces_115_h,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_116_h,Faces,girl smiling,09934281,00028498,,,,,,,,,,,,,,,,,,,
Faces_117_h,Faces,boys smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_118_h,Faces,children playing,10131706,02395028,,,,,,,,,,,,,,,,,,,
Faces_119_v,Faces,girl,09934281,,,,,,,,,,,,,,,,,,,,
Faces_120_h,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_121_h,Faces,mother and child,10178093,10131706,,,,,,,,,,,,,,,,,,,
Faces_122_h,Faces,girl playing,09934281,02395028,00028498,,,,,,,,,,,,,,,,,,
Faces_123_h,Faces,boy playing,10131706,02395028,14821424,,,,,,,,,,,,,,,,,,
Faces_124_h,Faces,girls playing,09934281,02395028,14821424,,,,,,,,,,,,,,,,,,
Faces_125_h,Faces,girl,09934281,04102246,,,,,,,,,,,,,,,,,,,
Faces_126_h,Faces,girl,09934281,12965125,,,,,,,,,,,,,,,,,,,
Faces_127_h,Faces,girls smiling,09934281,00028498,,,,,,,,,,,,,,,,,,,
Faces_128_h,Faces,children,09771320,,,,,,,,,,,,,,,,,,,,
Faces_129_h,Faces,children,09771320,,,,,,,,,,,,,,,,,,,,
Faces_130_h,Faces,woman and child,10626312,09771320,10178093,09682781,,,,,,,,,,,,,,,,,
Faces_131_v,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_132_h,Faces,boy on a slide,10131706,04188260,,,,,,,,,,,,,,,,,,,
Faces_133_h,Faces,boy in swimming pool,10131706,04319445,,,,,,,,,,,,,,,,,,,
Faces_134_h,Faces,children in swimming pool,10131706,04319445,00028498,,,,,,,,,,,,,,,,,,
Faces_135_h,Faces,boy smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_136_v,Faces,boys smiling,10131706,00028498,,,,,,,,,,,,,,,,,,,
Faces_137_h,Faces,boy in swimming pool,10131706,04319445,,,,,,,,,,,,,,,,,,,
Faces_138_h,Faces,woman and child,10626312,10131706,,,,,,,,,,,,,,,,,,,
Faces_139_v,Faces,children smiling,09771320,00028498,02807541,,,,,,,,,,,,,,,,,,
Faces_140_h,Faces,grandparents and children,09992229,09771320,09682781,,,,,,,,,,,,,,,,,,
Faces_141_v,Faces,children playing,09771320,02395028,00254018,,,,,,,,,,,,,,,,,,
Faces_142_h,Faces,sad woman,10626312,10626312,,,,,,,,,,,,,,,,,,,
Faces_143_v,Faces,mutilated face,01368227,05531141,,,,,,,,,,,,,,,,,,,
Faces_144_h,Faces,man,10133569,,,,,,,,,,,,,,,,,,,,
Faces_145_v,Faces,mutilated face,01368227,05531141,,,,,,,,,,,,,,,,,,,
Faces_146_h,Faces,sick man,02624970,10133569,,,,,,,,,,,,,,,,,,,
Faces_147_v,Faces,mutilated face,01368227,05531141,,,,,,,,,,,,,,,,,,,
Faces_148_h,Faces,homeless men,01091179,10133569,01187014,,,,,,,,,,,,,,,,,,
Faces_149_v,Faces,mutilated face,01368227,05531141,10626312,,,,,,,,,,,,,,,,,,
Faces_150_h,Faces,sick man,02624970,10133569,,,,,,,,,,,,,,,,,,,
Faces_151_v,Faces,mutilated face,01368227,05531141,10626312,,,,,,,,,,,,,,,,,,
Faces_152_h,Faces,mutilated face,01368227,05531141,10626312,,,,,,,,,,,,,,,,,,
Faces_153_v,Faces,mutilated face,01368227,05531141,10626312,,,,,,,,,,,,,,,,,,
Faces_154_h,Faces,boy,10131706,,,,,,,,,,,,,,,,,,,,
Faces_155_h,Faces,girl crying,09934281,00065431,,,,,,,,,,,,,,,,,,,
Faces_156_h,Faces,man,10133569,,,,,,,,,,,,,,,,,,,,
Faces_157_h,Faces,sad man,01412748,10133569,,,,,,,,,,,,,,,,,,,
Faces_158_h,Faces,sad man,01412748,10133569,,,,,,,,,,,,,,,,,,,
Faces_159_h,Faces,mutilated face,01368227,05531141,,,,,,,,,,,,,,,,,,,
Faces_160_v,Faces,woman,10626312,,,,,,,,,,,,,,,,,,,,
Faces_161_h,Faces,woman smoking,10626312,01187014,,,,,,,,,,,,,,,,,,,
Faces_162_h,Faces,sad couple,01412748,07880610,,,,,,,,,,,,,,,,,,,
Faces_163_h,Faces,men,10133569,00979439,,,,,,,,,,,,,,,,,,,
Faces_164_h,Faces,crying woman and child,00065431,10626312,09771320,,,,,,,,,,,,,,,,,,
Faces_165_v,Faces,elderly man,10133569,01703749,,,,,,,,,,,,,,,,,,,
Faces_166_h,Faces,sad man,10133569,01412748,,,,,,,,,,,,,,,,,,,
Faces_167_v,Faces,man,10133569,00800347,,,,,,,,,,,,,,,,,,,
Faces_168_h,Faces,man,10133569,05261566,,,,,,,,,,,,,,,,,,,
Faces_169_v,Faces,man smoking,10133569,00834636,,,,,,,,,,,,,,,,,,,
Faces_170_h,Faces,wounded man,10287213,04272054,05399847,,,,,,,,,,,,,,,,,,
Faces_171_v,Faces,elderly man,10287213,07943870,05261566,,,,,,,,,,,,,,,,,,
Faces_172_h,Faces,elderly man,10287213,07943870,02849154,,,,,,,,,,,,,,,,,,
Faces_173_v,Faces,hurting man,00913065,05538625,,,,,,,,,,,,,,,,,,,
Faces_174_h,Faces,mutilated face,05600637,07950786,14318714,,,,,,,,,,,,,,,,,,
Faces_175_v,Faces,woman crying,10787470,05405324,00066191,,,,,,,,,,,,,,,,,,
Faces_176_h,Faces,elderly woman,10787470,07943870,,,,,,,,,,,,,,,,,,,
Faces_177_v,Faces,masked man,10287213,08209687,03724870,,,,,,,,,,,,,,,,,,
Faces_178_h,Faces,elderly woman,10787470,07943870,,,,,,,,,,,,,,,,,,,
Faces_179_v,Faces,woman,10787470,04272054,,,,,,,,,,,,,,,,,,,
Faces_180_h,Faces,woman,10787470,04356056,,,,,,,,,,,,,,,,,,,
Faces_181_v,Faces,elderly woman,10787470,07943870,,,,,,,,,,,,,,,,,,,
Faces_182_h,Faces,elderly man,10287213,07943870,,,,,,,,,,,,,,,,,,,
Faces_183_v,Faces,man,10287213,05262185,,,,,,,,,,,,,,,,,,,
Faces_184_h,Faces,woman,10787470,04356056,04256520,,,,,,,,,,,,,,,,,,
Faces_185_v,Faces,man,10287213,04350905,,,,,,,,,,,,,,,,,,,
Faces_186_h,Faces,woman,10787470,04272054,,,,,,,,,,,,,,,,,,,
Faces_187_v,Faces,man,10287213,04350905,,,,,,,,,,,,,,,,,,,
Faces_188_h,Faces,woman,10787470,03520493,,,,,,,,,,,,,,,,,,,
Faces_189_v,Faces,man,10287213,05261566,,,,,,,,,,,,,,,,,,,
Faces_190_h,Faces,man,10287213,05261566,,,,,,,,,,,,,,,,,,,
Faces_191_v,Faces,man,10287213,05261566,,,,,,,,,,,,,,,,,,,
Faces_192_h,Faces,man,10287213,04272054,,,,,,,,,,,,,,,,,,,
Faces_193_v,Faces,priest,10287213,03041964,,,,,,,,,,,,,,,,,,,
Faces_194_h,Faces,man,10287213,04272054,,,,,,,,,,,,,,,,,,,
Faces_195_v,Faces,elderly woman,10787470,07943870,04370048,,,,,,,,,,,,,,,,,,
Faces_196_h,Faces,man,10287213,03419014,04370048,,,,,,,,,,,,,,,,,,
Faces_197_v,Faces,woman,10787470,04459362,,,,,,,,,,,,,,,,,,,
Faces_198_h,Faces,woman,10787470,13152742,,,,,,,,,,,,,,,,,,,
Faces_199_v,Faces,elderly man,07943870,10287213,04272054,,,,,,,,,,,,,,,,,,
Faces_200_h,Faces,man,10287213,03497657,04356056,04587648,00877127,,,,,,,,,,,,,,,,
Faces_201_v,Faces,priest,10287213,01643620,10470779,03759954,07129867,,,,,,,,,,,,,,,,
Faces_202_v,Faces,man,10287213,05600637,04459362,04356056,,,,,,,,,,,,,,,,,
Faces_203_h,Faces,elderly man,01643620,10287213,00838367,07614500,04272054,,,,,,,,,,,,,,,,
Faces_204_v,Faces,man,10287213,04356056,05600637,,,,,,,,,,,,,,,,,,
Faces_205_h,Faces,elderly woman,01643620,10787470,05600637,04272054,,,,,,,,,,,,,,,,,
Faces_206_v,Faces,woman,10787470,05600637,,,,,,,,,,,,,,,,,,,
Faces_207_h,Faces,elderly woman,01643620,10787470,05600637,07942152,07975026,,,,,,,,,,,,,,,,
Faces_208_h,Faces,elderly man,01643620,10287213,15043763,15237782,05600637,07942152,,,,,,,,,,,,,,,
Faces_209_h,Faces,elderly woman,01643620,10787470,05600637,,,,,,,,,,,,,,,,,,
Faces_210_h,Faces,man,10287213,05600637,03221720,03542333,,,,,,,,,,,,,,,,,
Faces_211_h,Faces,man smiling,10287213,06878071,02858304,10093658,,,,,,,,,,,,,,,,,
Faces_212_h,Faces,man,10287213,02858304,09225146,09376198,09436708,00370869,,,,,,,,,,,,,,,
Faces_213_v,Faces,men,10287213,10285313,00344421,00417859,04356056,04334599,,,,,,,,,,,,,,,
Faces_214_h,Faces,elderly woman,01643620,10787470,02777734,,,,,,,,,,,,,,,,,,
Faces_215_v,Faces,woman,10787470,00344259,04272054,,,,,,,,,,,,,,,,,,
Faces_216_h,Faces,man,10287213,04272054,05600637,,,,,,,,,,,,,,,,,,
Faces_217_v,Faces,elderly man,01643620,10287213,00834636,03945167,,,,,,,,,,,,,,,,,
Faces_218_h,Faces,woman,10787470,04356056,00283568,,,,,,,,,,,,,,,,,,
Faces_219_v,Faces,elderly man,01643620,10287213,04356056,03497657,00041188,00488225,,,,,,,,,,,,,,,
Faces_220_h,Faces,woman,10787470,04272054,05600637,,,,,,,,,,,,,,,,,,
Faces_221_v,Faces,man,10287213,05600637,13900422,,,,,,,,,,,,,,,,,,
Faces_222_h,Faces,elderly woman,01643620,01643620,04272054,00344259,02828884,00375969,,,,,,,,,,,,,,,
Faces_223_v,Faces,woman,10787470,05600637,,,,,,,,,,,,,,,,,,,
Faces_224_h,Faces,elderly woman,01643620,10787470,02774152,00385756,03236735,08436759,00375969,,,,,,,,,,,,,,
Faces_225_v,Faces,man smiling,10285313,06878071,03201776,,,,,,,,,,,,,,,,,,
Faces_226_h,Faces,man smiling,10287213,06878071,05261566,,,,,,,,,,,,,,,,,,
Faces_227_v,Faces,woman smiling,10787470,06878071,00381097,03057021,,,,,,,,,,,,,,,,,
Faces_228_h,Faces,elderly woman,01643620,10787470,03497657,00843128,07929519,,,,,,,,,,,,,,,,
Faces_229_v,Faces,man,10287213,05600637,04141975,,,,,,,,,,,,,,,,,,
Faces_230_h,Faces,elderly man,01643620,10287213,03497657,05261566,00389310,,,,,,,,,,,,,,,,
Faces_231_v,Faces,woman smiling,10787470,06878071,04370048,03589791,05600637,,,,,,,,,,,,,,,,
Faces_232_h,Faces,women smiling,10787470,06878071,02879087,04272054,05600637,,,,,,,,,,,,,,,,
Faces_233_v,Faces,woman,10787470,04356056,04143897,04334599,07942152,05600637,,,,,,,,,,,,,,,
Faces_234_h,Faces,dancing people,07942152,00428270,00545501,08615374,00375969,12102133,,,,,,,,,,,,,,,
Faces_235_v,Faces,woman smiling,10787470,06878071,08615374,05600637,,,,,,,,,,,,,,,,,
Faces_236_h,Faces,woman smiling,10787470,06878071,03236735,00385756,00810598,00021265,,,,,,,,,,,,,,,
Faces_237_v,Faces,woman smiling,10787470,06878071,03814906,05600637,05600637,,,,,,,,,,,,,,,,
Faces_238_h,Faces,man smiling,10287213,06878071,03513376,05600637,,,,,,,,,,,,,,,,,
Faces_239_v,Faces,woman smiling,10626312,06785681,,,,,,,,,,,,,,,,,,,
Faces_240_h,Faces,woman smiling,10626312,06785681,00433458,,,,,,,,,,,,,,,,,,
Faces_241_v,Faces,man,10287213,06785681,,,,,,,,,,,,,,,,,,,
Faces_242_h,Faces,man and woman smiling,10287213,10626312,06785681,,,,,,,,,,,,,,,,,,
Faces_243_v,Faces,elderly woman,10787470,01643620,04272054,,,,,,,,,,,,,,,,,,
Faces_244_h,Faces,elderly woman,10787470,06878071,01643620,03497657,,,,,,,,,,,,,,,,,
Faces_245_v,Faces,man singing,10287213,01731031,,,,,,,,,,,,,,,,,,,
Faces_246_v,Faces,man smiling,10285313,06878071,,,,,,,,,,,,,,,,,,,
Faces_247_h,Faces,woman smiling,10787470,06878071,01643620,,,,,,,,,,,,,,,,,,
Faces_248_v,Faces,girl,10129825,,,,,,,,,,,,,,,,,,,,
Faces_249_v,Faces,Buddhist monk,10287213,10112129,,,,,,,,,,,,,,,,,,,
Faces_250_h,Faces,woman,10626312,,,,,,,,,,,,,,,,,,,,
Faces_251_v,Faces,man,10133569,06785681,,,,,,,,,,,,,,,,,,,
Faces_252_h,Faces,woman smiling,10626312,06785681,,,,,,,,,,,,,,,,,,,
Faces_253_v,Faces,woman smiling,10626312,06785681,09291365,,,,,,,,,,,,,,,,,,
Faces_254_h,Faces,woman,10626312,06785681,,,,,,,,,,,,,,,,,,,
