Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Landscapess_065_h;Landscapes;buildings;08663774;15043763;03544360;03544360;;;;;;;;;;;;;;;;;
Landscapess_066_h;Landscapes;dustbins;02958343;13104059;14857497;02839910;;;;;;;;;;;;;;;;;
Landscapess_067_h;Landscapes;balcony;02897820;02777734;03327234;;;;;;;;;;;;;;;;;;
Landscapess_068_h;Landscapes;devastated house;03544360;01451402;03221720;04587648;12102133;;;;;;;;;;;;;;;;
Landscapess_069_v;Landscapes;railroad tracks;09387222;09416076;;;;;;;;;;;;;;;;;;;
Landscapess_070_h;Landscapes;industry;03327234;08505573;14857497;;;;;;;;;;;;;;;;;;
Landscapess_071_h;Landscapes;river;09225146;02858304;03933529;13104059;;;;;;;;;;;;;;;;;
Landscapess_072_h;Landscapes;house;03544360;04587648;04306847;;;;;;;;;;;;;;;;;;
Landscapess_073_h;Landscapes;house;03544360;11508382;02777734;04335886;;;;;;;;;;;;;;;;;
Landscapess_074_h;Landscapes;industry;04068441;14889479;;;;;;;;;;;;;;;;;;;
Landscapess_075_h;Landscapes;windows;04587648;04546855;00218475;;;;;;;;;;;;;;;;;;
Landscapess_076_h;Landscapes;wall;15098161;04546855;;;;;;;;;;;;;;;;;;;
Landscapess_077_v;Landscapes;building foundation;15043763;13790712;09225146;;;;;;;;;;;;;;;;;;
Landscapess_078_h;Landscapes;bridge;02898711;05913842;12102133;;;;;;;;;;;;;;;;;;
Landscapess_079_v;Landscapes;house;02913152;05913842;04334599;;;;;;;;;;;;;;;;;;
Landscapess_080_h;Landscapes;house;09303008;13104059;03544360;;;;;;;;;;;;;;;;;;
Landscapess_081_h;Landscapes;house;13104059;03544360;;;;;;;;;;;;;;;;;;;
Landscapess_082_v;Landscapes;building;03544360;02958343;02777734;;;;;;;;;;;;;;;;;;
Landscapess_083_h;Landscapes;building;03544360;02858304;09411430;;;;;;;;;;;;;;;;;;
Landscapess_084_v;Landscapes;bridge;09411430;02898711;08436759;;;;;;;;;;;;;;;;;;
Landscapess_085_h;Landscapes;cabin;03544360;03791053;13104059;;;;;;;;;;;;;;;;;;
Landscapess_086_v;Landscapes;church;02984061;09436708;11439690;;;;;;;;;;;;;;;;;;
Landscapess_087_h;Landscapes;skyscrapers;11439690;09436708;02913152;;;;;;;;;;;;;;;;;;
Landscapess_088_v;Landscapes;windows;04587648;04546855;13100677;;;;;;;;;;;;;;;;;;
Landscapess_089_h;Landscapes;garden;03417749;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_090_h;Landscapes;church;08082602;03417749;02958343;;;;;;;;;;;;;;;;;;
Landscapess_091_h;Landscapes;window;04587648;04546855;;;;;;;;;;;;;;;;;;;
Landscapess_092_h;Landscapes;devastated palace;01451402;03878066;09436708;;;;;;;;;;;;;;;;;;
Landscapess_093_h;Landscapes;chairs;03001627;03365592;04435180;;;;;;;;;;;;;;;;;;
Landscapess_094_h;Landscapes;palace;03878066;03417749;03388043;;;;;;;;;;;;;;;;;;
Landscapess_095_h;Landscapes;skyscrapers;04049098;04233124;08524735;;;;;;;;;;;;;;;;;;
Landscapess_096_h;Landscapes;flowers;11669921;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_097_v;Landscapes;park;08438533;09460312;;;;;;;;;;;;;;;;;;;
Landscapess_098_h;Landscapes;sunset;15169248;11439690;;;;;;;;;;;;;;;;;;;
Landscapess_099_v;Landscapes;snow;15043763;;;;;;;;;;;;;;;;;;;;
Landscapess_100_h;Landscapes;water;09225146;14498096;05785508;;;;;;;;;;;;;;;;;;
Landscapess_101_v;Landscapes;stream;09448361;08438533;13104059;;;;;;;;;;;;;;;;;;
Landscapess_102_h;Landscapes;rocks;09416076;08505573;;;;;;;;;;;;;;;;;;;
Landscapess_103_v;Landscapes;tree;13104059;00310386;08436759;;;;;;;;;;;;;;;;;;
Landscapess_104_h;Landscapes;water lilies;11715810;09225146;09328904;;;;;;;;;;;;;;;;;;
