Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
People_075_v;People;swastika;06883725;04546855;05564590;;;;;;;;;;;;;;;;;
People_076_h;People;gun;04090263;09619168;05564590;04092609;;;;;;;;;;;;;;;;
People_077_v;People;injection;00697365;04376876;05563770;05564590;09619168;;;;;;;;;;;;;;;
People_078_v;People;bottle;09619168;05564590;02876657;;;;;;;;;;;;;;;;;
People_079_h;People;scythe;04158250;05564590;;;;;;;;;;;;;;;;;;
People_080_h;People;cigarette;03030663;00834636;10287213;05600637;;;;;;;;;;;;;;;;
People_081_v;People;injection;04376876;05564590;09619168;;;;;;;;;;;;;;;;;
People_082_h;People;concentration camp;03086183;04594218;03327234;;;;;;;;;;;;;;;;;
People_083_h;People;cigarette;10287213;00834636;03030663;00344259;04298171;;;;;;;;;;;;;;;
People_084_h;People;soldier;10622053;04090263;02944579;04565375;03513376;;;;;;;;;;;;;;;
People_085_h;People;cigarette;10787470;00834636;03030663;03666591;02747802;;;;;;;;;;;;;;;
People_086_h;People;soldier;10622053;03701391;04565375;02944579;00986938;;;;;;;;;;;;;;;
People_087_h;People;cigarette;10287213;00834636;03030663;05262185;;;;;;;;;;;;;;;;
People_088_v;People;soldier;10622053;03701391;04565375;02944579;00986938;;;;;;;;;;;;;;;
People_089_h;People;shoes;04199027;11669921;00402419;05563266;;;;;;;;;;;;;;;;
People_090_v;People;excrement;14853947;03364008;05560787;04334599;03790512;;;;;;;;;;;;;;;
People_091_h;People;keyboard;03614007;05564590;06402565;03642806;;;;;;;;;;;;;;;;
People_092_v;People;stall;10787470;04556204;04299215;00402419;;;;;;;;;;;;;;;;
People_093_h;People;huts;02576489;03547054;15019030;09917593;;;;;;;;;;;;;;;;
People_094_h;People;garbage;10287213;14857497;09225146;02747177;04272054;03497657;;;;;;;;;;;;;;
People_095_h;People;beach;14857497;09217230;02858304;09225146;09917593;10787470;;;;;;;;;;;;;;
People_096_h;People;ski slope;09437454;15043763;04231693;10605253;10617665;;;;;;;;;;;;;;;
People_097_h;People;builder;09959527;04451818;03513376;00911048;;;;;;;;;;;;;;;;
People_098_h;People;fire;10091651;07302836;11508092;02761897;;;;;;;;;;;;;;;;
People_099_h;People;river;09411430;02858304;07942152;02913152;09415584;09436708;;;;;;;;;;;;;;
People_100_h;People;firemen;10091651;;;;;;;;;;;;;;;;;;;
People_101_h;People;boats;02858304;09217230;;;;;;;;;;;;;;;;;;
People_102_h;People;city;08524735;09428628;;;;;;;;;;;;;;;;;;
People_103_h;People;beach;09217230;15137890;;;;;;;;;;;;;;;;;;
People_104_h;People;boats;02858304;14956325;07402393;;;;;;;;;;;;;;;;;
People_105_h;People;building;02913152;;;;;;;;;;;;;;;;;;;
People_106_v;People;city;08524735;04334599;;;;;;;;;;;;;;;;;;
People_107_h;People;palm trees;12582231;;;;;;;;;;;;;;;;;;;
People_108_h;People;river;09225146;02443907;;;;;;;;;;;;;;;;;;
People_109_h;People;beach;09217230;04379243;04081281;;;;;;;;;;;;;;;;;
People_110_h;People;hill;09303008;08598301;;;;;;;;;;;;;;;;;;
