Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_072_v;Objects;sushi;07879450;03528901;03025755;;;;;;;;;;;;;;;;;;
Objects_073_h;Objects;scrambled eggs;07840804;01669774;07679356;07848338;;;;;;;;;;;;;;;;;
Objects_074_v;Objects;drink;07885223;;;;;;;;;;;;;;;;;;;;
Objects_075_h;Objects;meal;07573696;07749582;03959485;;;;;;;;;;;;;;;;;;
Objects_076_v;Objects;salad;07806221;07649854;;;;;;;;;;;;;;;;;;;
Objects_077_h;Objects;vegetables;07707451;04679738;;;;;;;;;;;;;;;;;;;
Objects_078_h;Objects;pizza;07873807;;;;;;;;;;;;;;;;;;;;
Objects_079_h;Objects;jam;07642933;04284002;;;;;;;;;;;;;;;;;;;
Objects_080_h;Objects;cake;07628870;07601999;;;;;;;;;;;;;;;;;;;
Objects_081_h;Objects;dumplings;07702193;;;;;;;;;;;;;;;;;;;;
Objects_082_h;Objects;cheese;07850329;;;;;;;;;;;;;;;;;;;;
Objects_083_h;Objects;food;07555863;07850329;07679356;;;;;;;;;;;;;;;;;;
Objects_084_v;Objects;table;04379964;02948072;03959485;03438257;;;;;;;;;;;;;;;;;
Objects_085_h;Objects;cake;07628870;07601999;03959485;03383948;;;;;;;;;;;;;;;;;
Objects_086_h;Objects;bananas;07753592;;;;;;;;;;;;;;;;;;;;
Objects_087_h;Objects;durian;07762913;04335435;;;;;;;;;;;;;;;;;;;
Objects_088_h;Objects;fish;02512053;00095280;;;;;;;;;;;;;;;;;;;
Objects_089_h;Objects;lychee fruit;07766173;;;;;;;;;;;;;;;;;;;;
Objects_090_h;Objects;onions;07722217;;;;;;;;;;;;;;;;;;;;
Objects_091_h;Objects;boiled eggs;07840804;00616822;07679356;07718472;;;;;;;;;;;;;;;;;
Objects_092_v;Objects;meal;07573696;07555863;;;;;;;;;;;;;;;;;;;
Objects_093_h;Objects;mushrooms;13001041;;;;;;;;;;;;;;;;;;;;
Objects_094_v;Objects;vegetables;07707451;07722217;07824702;07714990;;;;;;;;;;;;;;;;;
Objects_095_h;Objects;meal;07573696;;;;;;;;;;;;;;;;;;;;
Objects_096_v;Objects;kiwifruit drink;07885223;07763629;03438257;;;;;;;;;;;;;;;;;;
Objects_097_h;Objects;sandwiches;07695965;07922764;;;;;;;;;;;;;;;;;;;
Objects_098_v;Objects;carrots;07730207;;;;;;;;;;;;;;;;;;;;
Objects_099_h;Objects;tea;07933274;03147509;;;;;;;;;;;;;;;;;;;
Objects_100_v;Objects;meal;07573696;07649854;;;;;;;;;;;;;;;;;;;
Objects_101_h;Objects;cake;07628870;13136556;02881193;;;;;;;;;;;;;;;;;;
Objects_102_v;Objects;meal;07573696;07657903;07820145;;;;;;;;;;;;;;;;;;
Objects_103_h;Objects;French fries;07711080;03959485;;;;;;;;;;;;;;;;;;;
Objects_104_v;Objects;sandwiches;07695965;;;;;;;;;;;;;;;;;;;;
Objects_105_h;Objects;knives;03623556;02974697;;;;;;;;;;;;;;;;;;;
Objects_106_v;Objects;fridge;03273913;07849336;;;;;;;;;;;;;;;;;;;
Objects_107_h;Objects;toy;03964744;14857497;;;;;;;;;;;;;;;;;;;
Objects_108_v;Objects;objects;00002684;04435180;;;;;;;;;;;;;;;;;;;
Objects_109_h;Objects;excrement;14853947;;;;;;;;;;;;;;;;;;;;
Objects_110_v;Objects;toilet;04446521;00370869;;;;;;;;;;;;;;;;;;;
Objects_111_h;Objects;doll;03219135;03964744;;;;;;;;;;;;;;;;;;;
Objects_112_h;Objects;bouquet;02879087;14881303;00289082;;;;;;;;;;;;;;;;;;
Objects_113_h;Objects;glass;14881303;14844693;;;;;;;;;;;;;;;;;;;
Objects_114_h;Objects;suitcase;02773838;14844693;00381097;;;;;;;;;;;;;;;;;;
Objects_115_h;Objects;coal;09273130;03623556;;;;;;;;;;;;;;;;;;;
Objects_116_v;Objects;curtain;03151077;04587648;02788689;14844693;;;;;;;;;;;;;;;;;
Objects_117_h;Objects;broken glass;14881303;00289082;;;;;;;;;;;;;;;;;;;
Objects_118_v;Objects;handcuffs;03484576;02897820;03804744;;;;;;;;;;;;;;;;;;
Objects_119_h;Objects;knife;03624134;03309808;00393105;;;;;;;;;;;;;;;;;;
Objects_120_h;Objects;toy;03964744;02883344;03944672;00289082;;;;;;;;;;;;;;;;;
Objects_121_v;Objects;toilet;04446521;05399847;;;;;;;;;;;;;;;;;;;
Objects_122_h;Objects;garbage;14857497;03593526;02908217;;;;;;;;;;;;;;;;;;
Objects_123_h;Objects;broken glass;14881303;00289082;04435180;;;;;;;;;;;;;;;;;;
Objects_124_h;Objects;toilet;04446521;01527420;;;;;;;;;;;;;;;;;;;
Objects_125_h;Objects;toilet;04446521;14853947;;;;;;;;;;;;;;;;;;;
Objects_126_h;Objects;glass;03438257;05399847;03430091;;;;;;;;;;;;;;;;;;
Objects_127_h;Objects;dustbin;03416900;02747177;;;;;;;;;;;;;;;;;;;
Objects_128_h;Objects;tiles;04435180;04594489;;;;;;;;;;;;;;;;;;;
Objects_129_h;Objects;shoes;04199027;09436708;;;;;;;;;;;;;;;;;;;
Objects_130_h;Objects;lock;03682487;03221720;02576489;;;;;;;;;;;;;;;;;;
Objects_131_h;Objects;knives;03624134;04565375;03309808;00393105;;;;;;;;;;;;;;;;;
Objects_132_h;Objects;straps;04333129;02818832;03746574;;;;;;;;;;;;;;;;;;
Objects_133_h;Objects;objects;00002684;;;;;;;;;;;;;;;;;;;;
Objects_134_h;Objects;broken objects;00002684;00289082;;;;;;;;;;;;;;;;;;;
Objects_135_h;Objects;bottles;02876657;02547317;;;;;;;;;;;;;;;;;;;
Objects_136_h;Objects;objects;00002684;04546855;;;;;;;;;;;;;;;;;;;
Objects_137_h;Objects;guns;03467984;;;;;;;;;;;;;;;;;;;;
Objects_138_h;Objects;bottles;02876657;03365592;04587648;03030663;;;;;;;;;;;;;;;;;
Objects_139_h;Objects;doll head;03219135;05538625;00419289;01184584;;;;;;;;;;;;;;;;;
Objects_140_h;Objects;bottle;02876657;09334396;11683331;13104059;;;;;;;;;;;;;;;;;
Objects_141_h;Objects;broken bottle;02876657;00289082;09334396;;;;;;;;;;;;;;;;;;
Objects_142_h;Objects;broken bottle;02876657;00289082;09334396;;;;;;;;;;;;;;;;;;
Objects_143_h;Objects;guns and knives;03467984;03624134;03309808;00393105;;;;;;;;;;;;;;;;;
Objects_144_h;Objects;dirt;14844693;15019030;01908889;;;;;;;;;;;;;;;;;;
Objects_145_h;Objects;coffins;03064758;;;;;;;;;;;;;;;;;;;;
Objects_146_h;Objects;glass;03438257;04587648;;;;;;;;;;;;;;;;;;;
Objects_147_v;Objects;knife;03624134;03309808;00393105;;;;;;;;;;;;;;;;;;
Objects_148_h;Objects;guns and handcuffs;03467984;03484576;02916350;04090263;;;;;;;;;;;;;;;;;
Objects_149_h;Objects;blood;05399847;03513376;04199027;04096066;;;;;;;;;;;;;;;;;
Objects_150_h;Objects;dog collar;03217814;;;;;;;;;;;;;;;;;;;;
Objects_151_h;Objects;garbage;14857497;;;;;;;;;;;;;;;;;;;;
Objects_152_v;Objects;bottle;02876657;04118635;;;;;;;;;;;;;;;;;;;
Objects_153_h;Objects;rust;14889479;;;;;;;;;;;;;;;;;;;;
Objects_154_h;Objects;blood;05399847;03807537;;;;;;;;;;;;;;;;;;;
Objects_155_h;Objects;flowerpot;03991062;15043763;;;;;;;;;;;;;;;;;;;
Objects_156_v;Objects;bathtub;02808440;00419289;;;;;;;;;;;;;;;;;;;
Objects_157_h;Objects;bottles;02876657;00419289;;;;;;;;;;;;;;;;;;;
Objects_158_h;Objects;doll arm;03219135;05563770;00419289;;;;;;;;;;;;;;;;;;
Objects_159_v;Objects;broken shelf;04190052;00289082;;;;;;;;;;;;;;;;;;;
Objects_160_h;Objects;sculptures;00937656;05538625;01482075;;;;;;;;;;;;;;;;;;
Objects_161_v;Objects;kettle;03612814;04330340;03619890;;;;;;;;;;;;;;;;;;
Objects_162_h;Objects;suitcases;02773838;04334599;;;;;;;;;;;;;;;;;;;
Objects_163_v;Objects;wardrobe;04550184;;;;;;;;;;;;;;;;;;;;
Objects_164_h;Objects;objects;00002684;;;;;;;;;;;;;;;;;;;;
Objects_165_v;Objects;wooden bellows;02826259;02576489;00679147;09416076;;;;;;;;;;;;;;;;;
Objects_166_h;Objects;shoes;04199027;14974264;;;;;;;;;;;;;;;;;;;
Objects_167_v;Objects;sculptures;00937656;01527420;;;;;;;;;;;;;;;;;;;
