Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7
Faces_144_h;Faces;man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;;
Faces_145_v;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";;;;;
Faces_146_h;Faces;sick man;"{02624970} <adj.all> ill1#1 (vs. well1#1), sick1#1 -- (affected by an impairment of normal physical or mental function; ""ill from the monotony of his suffering"")";"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;
Faces_147_v;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";;;;;
Faces_148_h;Faces;homeless men;"{01091179} <adj.all> dispossessed#1, homeless#2, roofless#2 -- (physically or spiritually homeless or deprived of security; ""made a living out of shepherding dispossed people from one country to another""- James Stern)";"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{01187014} <verb.consumption> smoke#1 -- (inhale and exhale smoke from cigarettes, cigars, pipes; ""We never smoked marijuana""; ""Do you smoke?"")";;;;
Faces_149_v;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";;;;
Faces_150_h;Faces;sick man;"{02624970} <adj.all> ill1#1 (vs. well1#1), sick1#1 -- (affected by an impairment of normal physical or mental function; ""ill from the monotony of his suffering"")";"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;
Faces_151_v;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";;;;
Faces_152_h;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";;;;
Faces_153_v;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";;;;
Faces_154_h;Faces;boy;"{10131706} <noun.person> male child#1, boy#1 -- (a youthful male person; ""the baby was a boy""; ""she made the boy brush his teeth every night""; ""most soldiers are only boys in uniform"")";;;;;;
Faces_155_h;Faces;girl crying;"{09934281} <noun.person> female child#1, girl2#2, little girl#1 -- (a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle"")";"{00065431} <verb.body> cry#2, weep#1 -- (shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs"")";;;;;
Faces_156_h;Faces;man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;;
Faces_157_h;Faces;sad man;"{01412748} <adj.all> sad#1 (vs. glad#1) -- (experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti)";"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;
Faces_158_h;Faces;sad man;"{01412748} <adj.all> sad#1 (vs. glad#1) -- (experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti)";"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";;;;;
Faces_159_h;Faces;mutilated face;"{01368227} <adj.all> maimed#1, mutilated#1 -- (badly injured, perhaps with amputation; ""the maimed right hand twisted and clutched""- P.B.Kyne; ""mutilated victims of the rocket attack"")";"{05531141} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";;;;;
Faces_160_v;Faces;woman;"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";;;;;;
Faces_161_h;Faces;woman smoking;"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{01187014} <verb.consumption> smoke#1 -- (inhale and exhale smoke from cigarettes, cigars, pipes; ""We never smoked marijuana""; ""Do you smoke?"")";;;;;
Faces_162_h;Faces;sad couple;"{01412748} <adj.all> sad#1 (vs. glad#1) -- (experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti)";"{07880610} <noun.group> couple1#2, mates#1, match#8 -- (a pair of people who live together; ""a married couple from Chicago"")";;;;;
Faces_163_h;Faces;men;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{00979439} <verb.communication> address2#2, speak3#4 -- (give a speech to; ""The chairman addressed the board of trustees"")";;;;;
Faces_164_h;Faces;crying woman and child;"{00065431} <verb.body> cry#2, weep#1 -- (shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs"")";"{10626312} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{09771320} <noun.person> child#1, kid#1, youngster#1, minor#1, shaver#2, nipper#1, small fry1#2, tiddler#1, tike1#2, tyke1#3, fry#3, nestling#2 -- (a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngsters"")";;;;
Faces_165_v;Faces;elderly man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{01703749} <adj.all> aged1#1, elderly#1, older#1, senior#3 -- (advanced in years; (`aged' is pronounced as two syllables); ""aged members of the society""; ""elderly residents could remember the construction of the first skyscraper""; ""senior citizen"")";;;;;
Faces_166_h;Faces;sad man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{01412748} <adj.all> sad#1 (vs. glad#1) -- (experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti)";;;;;
Faces_167_v;Faces;man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{00800347} <verb.communication> interview#1, question9#4 -- (conduct an interview in television, newspaper, and radio reporting);;;;;
Faces_168_h;Faces;man;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{05261566} <noun.body> beard#1, face fungus#1, whiskers#1 -- (the hair growing on the lower part of a man's face);;;;;
